Kode_RS,Rumah_Sakit,Jenis,Jenis_Grup,Kelas,Penyelenggara,Penyelenggara_Kategori,Provinsi,Kab_Kota,Dokter,Dokter Gigi,Dokter Spesialis Penyakit Dalam (Sp.PD),Dokter Spesialis Obstetri & Ginekologi (Sp.OG),Dokter Spesialis Anak (Sp.A),Dokter Spesialis Bedah (Sp.B),Subspesialis Digestif,Subspesialis Onkologi,Dokter Spesialis Obstetri & Ginekologi (Sp.OG)_2,Subspesialis Onkologi ginekologi,Dokter Spesialis Penyakit Dalam (Sp.PD)_2,Subspesialis Hematologi onkologi,Subspesialis Gastroenterologi-hepatologi,Dokter Spesialis Anak (Sp.A)_2,Subspesialis Hematologi onkologi_2,Dokter Spesialis Paru  - Pulmonologi (Sp.P),Subspesialis Onkologi thoraks,Dokter Spesialis Patologi Anatomi (Sp.PA),Dokter Spesialis Patologi Klinik (SP.PK),Dokter Spesialis Radiologi (Sp.Rad),Dokter Spesialis Onkologi Radiasi (Sp.Onk.Rad),Dokter Spesialis Anastesiologi (Sp.An),Dokter Spesialis Nuklir (Sp.KN),Ahli Teknologi Laboratorium Medik (Analis Kesehatan),Fisikawan Medik,Radiografer,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Kelengkapan_Data_SDM_pct,Brachytherapy,CT Scan 128,CT Scan 64,CT Simulator,CUSA,Cyclotron,Cytotoxic drug safety cabinet,Flowcytometer,IHK Manual,IHK Set,LINAC,Mammografi,Mikroskop fluoresen,Mikroskop microsurgery,MRI 1.5 Tesla,PET CT,Set Histopatologi,Slide Scanner / Digital Pathology,SPECT CT,"USG (Payudara, Abdomen, Ginekologi)",Jumlah_Record_Alkes_Raw,Duplikat_Alkes_Raw,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Kelengkapan_Data_Alkes_pct,Ada_Data_Alkes,BPJS_Bedah Onko,BPJS_Bronkoskopi,BPJS_Kemo,BPJS_Kolonoskopi,BPJS_Mammografi,BPJS_Patologi Anatomi,BPJS_Patologi Klinik,BPJS_Radioterapi,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
1102016,RS Umum Daerah Aceh Singkil,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Singkil,36.0,6.0,4.0,2.0,2.0,2.0,,,2.0,,4.0,,,2.0,,1.0,,,1.0,1.0,,1.0,,13.0,,11.0,80.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,False,3.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1110027,RS Umum Malahayati,RSU,RS Umum,D,Swasta Non Profit,RS Publik,Aceh,Bireuen,8.0,2.0,4.0,1.0,2.0,2.0,,,1.0,,4.0,,,2.0,,1.0,,,1.0,1.0,,1.0,,3.0,,3.0,29.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1110075,RS Umum Daerah Dr. Fauziah Bireun,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Bireuen,42.0,5.0,9.0,6.0,5.0,4.0,,,6.0,,9.0,,,5.0,,4.0,,3.0,3.0,3.0,,6.0,,38.0,1.0,26.0,155.0,14,60.87,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,,,0.0,,1.0,False,4.0,4.0,75.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1110101,RS Umum Bireuen Medical Center ,RSU,RS Umum,D,Swasta Non Profit,RS Publik,Aceh,Bireuen,16.0,1.0,2.0,,1.0,3.0,,,,,2.0,,,1.0,,2.0,,,1.0,,,1.0,,4.0,,2.0,33.0,10,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1110102,RS Umum Telaga Bunda,RSU,RS Umum,D,Swasta Non Profit,RS Publik,Aceh,Bireuen,17.0,1.0,4.0,2.0,3.0,2.0,,,2.0,,4.0,,,3.0,,,,1.0,1.0,,,2.0,,6.0,,1.0,40.0,11,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1110103,RS Umum Avicenna,RSU,RS Umum,D,Swasta,RS Privat,Aceh,Bireuen,17.0,1.0,2.0,3.0,1.0,2.0,,,3.0,,2.0,,,1.0,,,,,,1.0,,2.0,,6.0,,,35.0,9,39.13,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1110104,RS Umum Jeumpa Hospital,RSU,RS Umum,C,Swasta,RS Privat,Aceh,Bireuen,11.0,2.0,2.0,2.0,1.0,3.0,,,2.0,,2.0,,,1.0,,1.0,,,1.0,1.0,,2.0,,1.0,,4.0,31.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1112011,RS Umum Daerah Teungku Peukan,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Barat Daya,25.0,2.0,3.0,2.0,2.0,2.0,,,2.0,,3.0,,,2.0,,1.0,,,1.0,1.0,,2.0,,23.0,,17.0,81.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,False,7.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1113012,RS Umum Muhammad Ali Kasim,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Gayo Lues,16.0,3.0,4.0,1.0,1.0,2.0,,,1.0,,4.0,,,1.0,,1.0,,,,1.0,,1.0,,21.0,,13.0,64.0,11,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,2.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1116011,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Jaya,12.0,3.0,4.0,2.0,1.0,4.0,,,2.0,,4.0,,,1.0,,1.0,,,1.0,1.0,,2.0,,6.0,,12.0,49.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,False,3.0,2.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Nagan Raya,23.0,1.0,5.0,2.0,2.0,1.0,,,2.0,,5.0,,,2.0,,1.0,,,1.0,1.0,,4.0,,17.0,,17.0,75.0,12,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,False,4.0,1.0,95.0,1,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1105034,RS Umum Pertamina Rantau,RSU,RS Umum,D,BUMN,RS Privat,Aceh,Aceh Tamiang,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,8.0,3,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1114011,RS Umum Daerah Tamiang,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Aceh Tamiang,28.0,5.0,4.0,4.0,2.0,3.0,1.0,,4.0,,4.0,,,2.0,,1.0,,,3.0,1.0,,2.0,,25.0,,14.0,93.0,13,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,False,3.0,1.0,95.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,RSU,RS Umum,C,Pemkab,RS Publik,Aceh,Bener Meriah,30.0,3.0,3.0,2.0,2.0,2.0,,,2.0,,3.0,,,2.0,,,,1.0,1.0,1.0,,,,20.0,,13.0,78.0,11,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,1.0,95.0,1,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1117027,RS Ibu dan Anak Azalia,RSIA,RS Khusus,C,Swasta,RS Privat,Aceh,Bener Meriah,4.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,2.0,,1.0,,,11.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
1118012,RS Umum Daerah Pidie Jaya,RSU,RS Umum,B,Pemkab,RS Publik,Aceh,Pidie Jaya,32.0,2.0,4.0,1.0,,3.0,,,1.0,,4.0,,,,,1.0,,,1.0,1.0,,1.0,,24.0,,21.0,91.0,11,47.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,False,6.0,2.0,95.0,1,,,,,,,,,0,0,
1171015,RS Umum Daerah  Dr. Zainoel Abidin,RSU,RS Umum,A,Pemprop,RS Publik,Aceh,Kota Banda Aceh,566.0,14.0,24.0,12.0,11.0,6.0,3.0,1.0,12.0,1.0,24.0,1.0,2.0,11.0,1.0,10.0,,3.0,5.0,10.0,,18.0,1.0,65.0,2.0,51.0,807.0,21,91.3,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,,2.0,1.0,0.0,,,0.0,,1.0,False,12.0,9.0,75.0,1,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,5,5,100.0
1171026,RS Tk. II Iskandar Muda Banda Aceh,RSU,RS Umum,B,TNI,RS Publik,Aceh,Kota Banda Aceh,43.0,3.0,7.0,4.0,2.0,1.0,,,4.0,,7.0,,,2.0,,3.0,,,1.0,2.0,,2.0,,17.0,,8.0,93.0,12,52.17,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Sudah kerjasama BPJS,Sudah kerjasama BPJS,,2,2,100.0
1171041,RS Jiwa Aceh,RSK Jiwa,RS Khusus,A,Pemprop,RS Publik,Aceh,Kota Banda Aceh,22.0,4.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,8.0,,2.0,38.0,6,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1171085,RS Umum Malahayati,RSU,RS Umum,D,Swasta Non Profit,RS Publik,Aceh,Kota Banda Aceh,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1171096,RS Umum Harapan Bunda Banda Aceh,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Aceh,Kota Banda Aceh,8.0,,2.0,2.0,1.0,,,,2.0,,2.0,,,1.0,,,,,,,,1.0,,13.0,,8.0,35.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,
1171106,RS Umum Teungku Fakinah,RSU,RS Umum,C,Swasta Non Profit,RS Publik,Aceh,Kota Banda Aceh,10.0,,3.0,6.0,2.0,2.0,,,6.0,,3.0,,,2.0,,,,,,,,1.0,,,,6.0,30.0,7,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sudah kerjasama BPJS,,1,1,100.0
