Kode_RS,Rumah_Sakit,Provinsi,Kab_Kota,Kelas,Penyelenggara_Kategori,Total_SDM_Tercatat,Jumlah_Jenis_SDM_Tersedia,Ada_Data_Alkes,Total_Unit_Alkes_Tercatat,Jumlah_Jenis_Alkes_Tersedia,Jumlah_Layanan_BPJS_Tercatat,Jumlah_Layanan_BPJS_Sudah,Persen_Layanan_BPJS_Sudah
5108079,RS Umum Daerah Giri Emas,Bali,Buleleng,D,RS Publik,27.0,10,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5108016,RS Umum Daerah Kab. Buleleng,Bali,Buleleng,B,RS Publik,115.0,14,1,4.0,4.0,4,4,100.0
5108077,RS Umum Daerah Tangguwisia,Bali,Buleleng,D,RS Publik,26.0,9,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5108031,RS Umum Kertha Usadha,Bali,Buleleng,C,RS Publik,76.0,16,0,Tidak tercatat,Tidak tercatat,3,3,100.0
5108064,RS Umum Parama Sidhi ,Bali,Buleleng,C,RS Privat,43.0,13,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5108075,RS Umum Shanti Graha,Bali,Buleleng,D,RS Privat,19.0,9,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5108042,RS umum Karya Dharma Husada,Bali,Buleleng,C,RS Publik,25.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5104050,RS Kenak Medika,Bali,Gianyar,D,RS Privat,9.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5104035,RS Umum Ari Canti,Bali,Gianyar,C,RS Privat,84.0,14,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5104012,RS Umum Daerah Sanjiwani Gianyar,Bali,Gianyar,B,RS Publik,138.0,15,1,5.0,4.0,6,6,100.0
5104036,RS Umum Famili Husada,Bali,Gianyar,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5104034,RS Umum Ganesha,Bali,Gianyar,C,RS Privat,66.0,14,0,Tidak tercatat,Tidak tercatat,5,5,100.0
5104037,RS Umum Kasih Ibu Saba,Bali,Gianyar,C,RS Privat,36.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5104039,RS Umum Payangan,Bali,Gianyar,C,RS Publik,60.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5104023,RS Umum Premagana,Bali,Gianyar,C,RS Privat,55.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5101055,RS Umum Balimed Negara,Bali,Jembrana,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,2,2,100.0
5101054,RS Umum Bunda,Bali,Jembrana,C,RS Privat,30.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5101016,RS Umum Daerah Negara,Bali,Jembrana,C,RS Publik,78.0,12,1,5.0,3.0,2,2,100.0
5101053,RS Umum Kertayasa,Bali,Jembrana,D,RS Privat,16.0,8,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5107018,RS Pratama Kubu,Bali,Karangasem,D PRATAMA,RS Publik,12.0,4,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5107017,RS Umum Balimed Karangasem,Bali,Karangasem,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,2,2,100.0
5107015,RS Umum Daerah Karangasem,Bali,Karangasem,C,RS Publik,95.0,12,1,11.0,3.0,2,2,100.0
5105015,RS Umum Bintang,Bali,Klungkung,C,RS Privat,51.0,13,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5105016,RS Umum Daerah Gema Santi Nusa Penida,Bali,Klungkung,D,RS Publik,34.0,7,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5105013,RS Umum Daerah Klungkung,Bali,Klungkung,B,RS Publik,112.0,14,1,4.0,4.0,4,4,100.0
5105017,RS Umum Grha Bhakti Medika,Bali,Klungkung,C,RS Privat,29.0,8,0,Tidak tercatat,Tidak tercatat,5,5,100.0
5105014,RS Umum Permata Hati,Bali,Klungkung,D,RS Privat,53.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171216,RS Bhayangkara Denpasar,Bali,Kota Denpasar,C,RS Publik,46.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171181,RS Gigi dan Mulut Saraswati Denpasar,Bali,Kota Denpasar,B,RS Publik,65.0,5,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171232,RS Ibu dan Anak Bunda Denpasar,Bali,Kota Denpasar,C,RS Privat,Tidak tercatat,0,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171166,RS Ibu dan Anak Harapan Bunda,Bali,Kota Denpasar,C,RS Privat,16.0,5,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171215,RS Ibu dan Anak Puri Bunda,Bali,Kota Denpasar,C,RS Privat,92.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5171219,RS Khusus Ibu dan Anak Pucuk Permata Hati,Bali,Kota Denpasar,C,RS Privat,20.0,5,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171064,RS Khusus Mata Bali Mandara,Bali,Kota Denpasar,A,RS Publik,25.0,6,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171221,RS Khusus Mata Ramata,Bali,Kota Denpasar,C,RS Privat,10.0,2,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171031,RS TK. II Udayana,Bali,Kota Denpasar,C,RS Publik,77.0,15,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5171097,RS Umum Bali Royal,Bali,Kota Denpasar,C,RS Privat,127.0,15,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171203,RS Umum Balimed,Bali,Kota Denpasar,C,RS Privat,132.0,16,0,Tidak tercatat,Tidak tercatat,5,5,100.0
5171155,RS Umum Bhakti Rahayu,Bali,Kota Denpasar,D,RS Publik,53.0,11,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171220,RS Umum Daerah Bali Mandara Provinsi Bali,Bali,Kota Denpasar,B,RS Publik,170.0,18,1,10.0,10.0,7,6,85.71
5171020,RS Umum Daerah Wangaya,Bali,Kota Denpasar,B,RS Publik,117.0,13,1,5.0,4.0,4,2,50.0
5171122,RS Umum Dharma Yadnya,Bali,Kota Denpasar,C,RS Publik,50.0,11,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5171111,RS Umum Kasih Ibu,Bali,Kota Denpasar,C,RS Publik,104.0,13,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171053,RS Umum Manuaba,Bali,Kota Denpasar,C,RS Publik,24.0,9,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
5171192,RS Umum Prima Medika,Bali,Kota Denpasar,C,RS Privat,127.0,16,0,Tidak tercatat,Tidak tercatat,2,2,100.0
5171133,RS Umum Puri Raharja,Bali,Kota Denpasar,C,RS Publik,75.0,12,0,Tidak tercatat,Tidak tercatat,5,4,80.0
5171086,RS Umum Surya Husadha,Bali,Kota Denpasar,C,RS Publik,93.0,17,0,Tidak tercatat,Tidak tercatat,3,3,100.0
5171217,RS Umum Surya Husadha,Bali,Kota Denpasar,D,RS Publik,54.0,12,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5171016,RSUP Prof. Dr. I.G.N.G. Ngoerah,Bali,Kota Denpasar,A,RS Publik,1847.0,22,1,13.0,12.0,6,6,100.0
5102051,RS Ibu dan Anak Cahaya Bunda,Bali,Tabanan,C,RS Privat,21.0,7,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5102052,RS Ibu dan Anak Puri Bunda Tabanan,Bali,Tabanan,C,RS Privat,30.0,9,0,Tidak tercatat,Tidak tercatat,1,1,100.0
5102048,RS Umum Bali Holistik,Bali,Tabanan,D,RS Privat,14.0,8,0,Tidak tercatat,Tidak tercatat,0,0,Tidak tercatat
