Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RSU Mitra Plumbon,3209051,Belum kerjasama BPJS,Kemo,RS Umum Mitra Plumbon,Jawa Barat,Cirebon,0
RSUD Waled,3209014,Belum kerjasama BPJS,Kemo,RS Umum Daerah Waled,Jawa Barat,Cirebon,0
RSUD Gunung Jati,3274016,Belum kerjasama BPJS,Kemo,RS Umum Daerah Gunung Jati,Jawa Barat,Kota Cirebon,0
RS Tk. III Ciremai,3274020,Sudah kerjasama BPJS,Kemo,RS Umum Tk. III Ciremai,Jawa Barat,Kota Cirebon,1
RSUD Al Ihsan Provinsi Jawa Barat,3204086,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,Jawa Barat,Bandung,1
RSUD Sayang,3203015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Sayang,Jawa Barat,Cianjur,1
RSU Hermina Sukabumi,3202062,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Sukabumi,Jawa Barat,Sukabumi,1
RSUD Singaparna Medika Citrautama (SMC),3206023,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Singaparna Medika Citrautama,Jawa Barat,Tasikmalaya,1
RS Jasa Kartini,3206070,Sudah kerjasama BPJS,Kemo,RS Umum Jasa Kartini,Jawa Barat,Kota Tasikmalaya,1
RSUD Karawang,3215012,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Karawang,Jawa Barat,Karawang,1
RS Sentra Medika Cibinong,3201230,Sudah kerjasama BPJS,Kemo,RS Umum Sentra Medika Cibinong,Jawa Barat,Bogor,1
RS Mitra Keluarga Bekasi Timur,3275046,Sudah kerjasama BPJS,Kemo,RS Umum Mitra Keluarga Bekasi Timur,Jawa Barat,Kota Bekasi,1
RSUP Dr. Soeradji Tirtonegoro,3310015,Sudah kerjasama BPJS,Kemo,RS Umum Pusat Dr. Soeradji Tirtonegoro,Jawa Tengah,Klaten,1
RS PKU Muhammadiyah Gombong,3305066,Sudah kerjasama BPJS,Kemo,RS Umum PKU Muhamadiyah Gombong,Jawa Tengah,Kebumen,1
RSUD Prof Dr. Margono Soekarjo,3302026,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Prof Dr. Margono Soekarjo,Jawa Tengah,Banyumas,1
RS Hermina Pandanaran,3374145,Sudah kerjasama BPJS,Kemo,RS Umum Hermina Pandanaran,Jawa Tengah,Kota Semarang,1
RSUP Dr. Kariadi,3374010,Sudah kerjasama BPJS,Kemo,RS Umum Pusat Dr. Kariadi,Jawa Tengah,Kota Semarang,1
RSUD Tugurejo,3374134,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Tugurejo Semarang,Jawa Tengah,Kota Semarang,1
RS Telogorejo Semarang,3374043,Sudah kerjasama BPJS,Kemo,RS Umum Telogorejo Semarang,Jawa Tengah,Kota Semarang,1
RSU St. Elisabeth Semarang,3374021,Belum kerjasama BPJS,Kemo,RS Umum St. Elisabeth Semarang,Jawa Tengah,Kota Semarang,0
RSI Sultan Agung,3374076,Belum kerjasama BPJS,Kemo,RS Umum Sultan Agung Semarang,Jawa Tengah,Kota Semarang,0
RS Akademik Universitas Gadjah Mada,3404189,Belum kerjasama BPJS,Kemo,RS Akademik Universitas Gadjah Mada,DI Yogyakarta,Sleman,0
RSUP Dr. Sardjito,3404015,Belum kerjasama BPJS,Kemo,RSUP Dr. Sardjito,DI Yogyakarta,Sleman,0
RSUD Sleman,3404011,Belum kerjasama BPJS,Kemo,RS Umum Daerah Sleman,DI Yogyakarta,Sleman,0
