Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RS Umum Wijaya Kusumah,3208024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Wijaya Kusumah,Jawa Barat,Kuningan,1
RS Umum Mitra Kasih,3204075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Mitra Kasih,Jawa Barat,Kota Cimahi,1
RS Umum Tk. II Dustira,3277031,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Tk. II Dustira,Jawa Barat,Kota Cimahi,1
RSAU dr. M. Salamun,3273030,Sudah kerjasama BPJS,Patologi Klinik,RSAU dr. M. Salamun,Jawa Barat,Kota Bandung,1
RS Umum Daerah Gunung Jati,3274016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Gunung Jati,Jawa Barat,Kota Cirebon,1
RS Umum Assyifa Sukabumi,3272051,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Assyifa Sukabumi,Jawa Barat,Kota Sukabumi,1
RS Islam Zam-Zam Muhammadiyah Jatibarang,3212071,Sudah kerjasama BPJS,Patologi Klinik,RS Islam Zam-Zam Muhammadiyah Jatibarang,Jawa Barat,Indramayu,1
RS Ibu dan Anak Asyifa Depok,3276147,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Asyifa Depok,Jawa Barat,Kota Depok,1
RS Ibu dan Anak Bunda Suryatni,3201246,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Bunda Suryatni,Jawa Barat,Kota Bogor,1
RS Ibu dan Anak Pasutri,3271162,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Pasutri,Jawa Barat,Kota Bogor,1
RS Ibu dan Anak Tumbuh Kembang,3201141,Sudah kerjasama BPJS,Patologi Klinik,RS Ibu dan Anak Tumbuh Kembang,Jawa Barat,Kota Depok,1
RS Jiwa Provinsi Jawa Barat,3217042,Sudah kerjasama BPJS,Patologi Klinik,RS Jiwa Provinsi Jawa Barat,Jawa Barat,Bandung Barat,1
RS Jantung dan Pembuluh Darah Paramarta,3273558,Sudah kerjasama BPJS,Patologi Klinik,RS Jantung dan Pembuluh Darah Paramarta,Jawa Barat,Kota Bandung,1
RS Umum Daerah Jatisari Kabupaten Karawang,3215146,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Jatisari Kabupaten Karawang,Jawa Barat,Karawang,1
RS Khusus Gigi dan Mulut Kota Bandung,3273540,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Gigi dan Mulut Kota Bandung,Jawa Barat,Kota Bandung,1
RS Paru Dr. M. Goenawan Partowidigdo,3201024,Sudah kerjasama BPJS,Patologi Klinik,RS Paru Dr. M. Goenawan Partowidigdo,Jawa Barat,Bogor,1
RS Umum Alia Hospital,3276154,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Alia Hospital,Jawa Barat,Kota Depok,1
RS Umum Amanda Mitra Keluarga,3215167,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Amanda Mitra Keluarga,Jawa Barat,Karawang,1
RS Umum Annisa,3201094,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Annisa,Jawa Barat,Bogor,1
RS Umum Banjar Patroman,3279003,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Banjar Patroman,Jawa Barat,Kota Banjar,1
RS Umum Baros,3277023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Baros,Jawa Barat,Kota Cimahi,1
RS Umum Bhakti Yudha,3201035,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bhakti Yudha,Jawa Barat,Kota Depok,1
RS Umum Citra Arafiq,3276153,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Citra Arafiq,Jawa Barat,Kota Depok,1
RS Umum Dadi Keluarga Ciamis,3207057,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dadi Keluarga Ciamis,Jawa Barat,Ciamis,1
RS Umum dr. Abdul Radjak Purwakarta,3214032,Sudah kerjasama BPJS,Patologi Klinik,RS Umum dr. Abdul Radjak Purwakarta,Jawa Barat,Purwakarta,1
RS Umum Dr. Hafiz,3203038,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dr. Hafiz ,Jawa Barat,Cianjur,1
RS Umum Hasanah Graha Afiah,3276146,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hasanah Graha Afiah,Jawa Barat,Kota Depok,1
RS Umum Hermina Bogor,3271115,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Bogor,Jawa Barat,Kota Bogor,1
RS Umum Hermina Sukabumi,3202062,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Sukabumi,Jawa Barat,Sukabumi,1
RS Umum Holistic Purwakarta,3214037,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Holistic Purwakarta,Jawa Barat,Purwakarta,1
RS Umum Karina Medika,3214040,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Karina Medika,Jawa Barat,Purwakarta,1
RS Umum Khalishah,3209053,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Khalishah,Jawa Barat,Cirebon,1
RS Umum Karya Pangalengan Bhakti Sehat,3204135,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Karya Pangalengan Bhakti Sehat,Jawa Barat,Bandung,1
RS Umum Mary Cileungsi Hijau,3201152,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Mary Cileungsi Hijau,Jawa Barat,Bogor,1
RS Umum Medimas,3274134,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Medimas,Jawa Barat,Kota Cirebon,1
RS Umum Nurhayati Garut,3205023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Nurhayati Garut,Jawa Barat,Garut,1
RS Umum Daerah 45 Kuningan,3208013,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah 45 Kuningan,Jawa Barat,Kuningan,1
RS Umum Daerah Al Ihsan Provinsi Jawa Barat,3204086,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Al Ihsan Provinsi Jawa Barat,Jawa Barat,Bandung,1
RS Umum Daerah Al-Mulk,3272075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Al-Mulk,Jawa Barat,Kota Sukabumi,1
RS Umum Daerah Anugerah Sehat Afiat,3276168,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Anugerah Sehat Afiat,Jawa Barat,Kota Depok,1
RS Umum Daerah Arjawinangun,3209040,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Arjawinangun,Jawa Barat,Cirebon,1
RS Umum Daerah Bandung Kiwari,3273260,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Bandung Kiwari,Jawa Barat,Kota Bandung,1
RS Umum Daerah Banjar,3207023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Banjar,Jawa Barat,Kota Banjar,1
RS Umum Daerah Bayu Asih,3214011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Bayu Asih,Jawa Barat,Purwakarta,1
RS Umum Daerah dr. Chasbullah Abdulmadjid,3275013,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jawa Barat,Kota Bekasi,1
RS Umum Daerah Kab. Ciamis,3207012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kab. Ciamis,Jawa Barat,Ciamis,1
RS Umum Daerah Ciawi,3201050,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Ciawi,Jawa Barat,Bogor,1
RS Umum Daerah Cibabat,3277020,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cibabat,Jawa Barat,Kota Cimahi,1
RS Umum Daerah Cibinong,3201046,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cibinong,Jawa Barat,Bogor,1
RS Umum Daerah Cicalengka,3204101,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cicalengka,Jawa Barat,Bandung,1
RS Umum Daerah Cideres,3210025,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cideres,Jawa Barat,Majalengka,1
RS Umum Daerah Cikalongwetan,3217007,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cikalongwetan,Jawa Barat,Bandung Barat,1
RS Umum Daerah Cileungsi,3201232,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cileungsi,Jawa Barat,Bogor,1
RS Umum Daerah Cililin,3217002,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cililin,Jawa Barat,Bandung Barat,1
RS Umum Daerah Cimacan,3203037,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Cimacan,Jawa Barat,Cianjur,1
RS Umum Daerah dr. Slamet Garut,3205010,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah dr. Slamet Garut,Jawa Barat,Garut,1
RS Umum Daerah dr. Soekardjo,3206011,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah dr. Soekardjo,Jawa Barat,Kota Tasikmalaya,1
RS Umum Daerah Kab. Indramayu,3212016,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kab. Indramayu,Jawa Barat,Indramayu,1
RS Umum Daerah Jampang Kulon,3202051,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Jampang Kulon,Jawa Barat,Sukabumi,1
RS Umum Daerah Kab.Bekasi,3216252,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kab.Bekasi,Jawa Barat,Bekasi,1
RS Umum Daerah Sumedang,3211015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sumedang,Jawa Barat,Sumedang,1
RS Umum Daerah Karawang,3215012,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Karawang,Jawa Barat,Karawang,1
RS Umum Daerah Kawali,3207060,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kawali,Jawa Barat,Ciamis,1
RS Umum Daerah Bantar Gebang,3275068,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Bantar Gebang,Jawa Barat,Kota Bekasi,1
RS Umum Daerah Jatisampurna,3275066,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Jatisampurna,Jawa Barat,Kota Bekasi,1
RS Umum Daerah Pondokgede,3275067,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pondokgede,Jawa Barat,Kota Bekasi,1
RS umum Daerah Teluk Pucung,3275070,Sudah kerjasama BPJS,Patologi Klinik,RS umum Daerah Teluk Pucung,Jawa Barat,Kota Bekasi,1
RS Umum Daerah Kesehatan Kerja,3204134,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kesehatan Kerja,Jawa Barat,Bandung,1
RS Umum Daerah Khidmat Sehat Afiat Kota Depok,3276124,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Khidmat Sehat Afiat Kota Depok,Jawa Barat,Kota Depok,1
RS Umum Daerah Kota Bandung,3273405,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Bandung,Jawa Barat,Kota Bandung,1
RS Umum Daerah Kota Bogor,3271104,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Kota Bogor,Jawa Barat,Kota Bogor,1
RS Umum Daerah Lembang,3217004,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Lembang,Jawa Barat,Bandung Barat,1
RS Umum Daerah Leuwiliang,3201083,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Leuwiliang,Jawa Barat,Bogor,1
RS Umum Daerah Linggajati Kuningan,3208059,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Linggajati Kuningan,Jawa Barat,Kuningan,1
RS Umum Daerah Mursid Ibnu Syafiuddin,3212056,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Mursid Ibnu Syafiuddin,Jawa Barat,Indramayu,1
RS Umum Daerah Oto Iskandar Di Nata,3204090,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Oto Iskandar Di Nata,Jawa Barat,Bandung,1
RS Umum Daerah Palabuhanratu,3202040,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Palabuhanratu,Jawa Barat,Sukabumi,1
RS Umum Daerah Pameungpeuk Prov. Jabar,3205022,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pameungpeuk Prov. Jabar,Jawa Barat,Garut,1
RS Umum Daerah Pandega Pangandaran,3218001,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Pandega Pangandaran,Jawa Barat,Pangandaran,1
RS Umum Daerah M. A. Sentot Patrol,3212031,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah M. A. Sentot Patrol,Jawa Barat,Indramayu,1
"RS Umum Daerah R. Syamsudin, SH",3272014,Sudah kerjasama BPJS,Patologi Klinik,"RS Umum Daerah R. Syamsudin, SH",Jawa Barat,Kota Sukabumi,1
RS Umum Daerah Sagaranten,3202087,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sagaranten,Jawa Barat,Sukabumi,1
RS Umum Daerah Sayang,3203015,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sayang,Jawa Barat,Cianjur,1
RS Umum Daerah Sekarwangi,3202014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Sekarwangi,Jawa Barat,Sukabumi,1
RS Umum Daerah Singaparna Medika Citrautama,3206023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Singaparna Medika Citrautama,Jawa Barat,Tasikmalaya,1
RS Umum Daerah Waled,3209014,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Daerah Waled,Jawa Barat,Cirebon,1
RS Umum Bayukarta,3215023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bayukarta,Jawa Barat,Karawang,1
RS Cahaya Medika,3216407,Sudah kerjasama BPJS,Patologi Klinik,RS Cahaya Medika,Jawa Barat,Bekasi,1
RS Umum Dewi Sri,3215045,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dewi Sri,Jawa Barat,Karawang,1
RS Umum Harapan Keluarga,3211027,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Harapan Keluarga,Jawa Barat,Sumedang,1
RS Umum IMC,3217006,Sudah kerjasama BPJS,Patologi Klinik,RS Umum IMC,Jawa Barat,Bandung Barat,1
RS Umum Karya Husada,3215056,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Karya Husada,Jawa Barat,Karawang,1
RS Umum Proklamasi,3215067,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Proklamasi,Jawa Barat,Karawang,1
RS Umum Rosela,3215164,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Rosela,Jawa Barat,Karawang,1
RS Umum Amira,3214035,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Amira,Jawa Barat,Purwakarta,1
RS Umum Bina Sehat,3273442,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bina Sehat ,Jawa Barat,Bandung,1
Siloam Hospitals Lippo Cikarang,3216152,Sudah kerjasama BPJS,Patologi Klinik,Siloam Hospitals Lippo Cikarang,Jawa Barat,Bekasi,1
RS Umum PKU Muhamadiyah Gombong,3305066,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhamadiyah Gombong,Jawa Tengah,Kebumen,1
RS Umum PKU Muhammadiyah Sruweng,3305103,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Sruweng,Jawa Tengah,Kebumen,1
RS Aisyiyah Kudus,3319021,Sudah kerjasama BPJS,Patologi Klinik,RS Aisyiyah Kudus,Jawa Tengah,Kudus,1
RS Umum Aisyiyah Muntilan,3308017,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Aisyiyah Muntilan ,Jawa Tengah,Magelang,1
RS Umum Amal Sehat,3312306,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  Amal Sehat,Jawa Tengah,Wonogiri,1
RS Umum As-Suyuthiyyah,3318113,Sudah kerjasama BPJS,Patologi Klinik,RS Umum As-Suyuthiyyah ,Jawa Tengah,Pati,1
At-Tin Hospital,3322084,Sudah kerjasama BPJS,Patologi Klinik,At-Tin Hospital,Jawa Tengah,Semarang,1
RS Umum Banyumanik,3374331,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Banyumanik,Jawa Tengah,Kota Semarang,1
RS Umum Bhakti Asih Brebes,3329078,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bhakti Asih Brebes,Jawa Tengah,Brebes,1
RS Umum Bhakti Asih Jatibarang,3329114,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bhakti Asih Jatibarang,Jawa Tengah,Brebes,1
RS Umum Bhayangkara Akpol Semarang,3374203,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bhayangkara Akpol Semarang ,Jawa Tengah,Kota Semarang,1
RS Umum Bhayangkara Semarang,3374091,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bhayangkara Semarang ,Jawa Tengah,Kota Semarang,1
RS Umum Brayat Minulya,3372041,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Brayat Minulya,Jawa Tengah,Kota Surakarta,1
RS Umum Budi Agung Pati,3318109,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  Budi Agung Pati,Jawa Tengah,Pati,1
RS Umum Budi Rahayu,3375022,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Budi Rahayu,Jawa Tengah,Kota Pekalongan,1
RS Umum Charlie Hospital,3324040,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Charlie Hospital,Jawa Tengah,Kendal,1
RS Umum Muhammadiyah Darul Istiqomah Kendal,3324037,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Muhammadiyah Darul Istiqomah Kendal,Jawa Tengah,Kendal,1
RS Umum Dedy Jaya,3329067,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dedy Jaya,Jawa Tengah,Brebes,1
RS Umum Dr. Oen,3372026,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dr. Oen,Jawa Tengah,Kota Surakarta,1
RS Umum Dr. Oen Solo Baru,3311224,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Dr. Oen Solo Baru,Jawa Tengah,Sukoharjo,1
RS Umum Tk. IV 04.07.03 dr. Asmir,3373020,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Tk. IV 04.07.03 dr. Asmir,Jawa Tengah,Kota Salatiga,1
RS Umum H. A. Zaky Djunaid,3375073,Sudah kerjasama BPJS,Patologi Klinik,RS Umum H. A. Zaky Djunaid,Jawa Tengah,Kota Pekalongan,1
RS Umum Harapan,3371131,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Harapan,Jawa Tengah,Kota Magelang,1
RS Umum Harapan Ibu,3303075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Harapan Ibu,Jawa Tengah,Purbalingga,1
RS Harapan Sehat Pemalang,3327048,Sudah kerjasama BPJS,Patologi Klinik,RS Harapan Sehat Pemalang,Jawa Tengah,Pemalang,1
RS Harapan Sehat Slawi,3328081,Sudah kerjasama BPJS,Patologi Klinik,RS Harapan Sehat Slawi,Jawa Tengah,Tegal,1
RS Umum Hermina Banyumanik Semarang,3374365,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Banyumanik Semarang,Jawa Tengah,Kota Semarang,1
RS Umum Hermina Pandanaran,3374145,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Pandanaran,Jawa Tengah,Kota Semarang,1
RS Umum Hermina Solo,3372236,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Hermina Solo,Jawa Tengah,Kota Surakarta,1
RS Hj. Fatimah Sulhan PKU Muhammadiyah Demak,3321036,Sudah kerjasama BPJS,Patologi Klinik,RS Hj. Fatimah Sulhan PKU Muhammadiyah Demak,Jawa Tengah,Demak,1
RS Umum Indriati,3311229,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Indriati,Jawa Tengah,Sukoharjo,1
RS Umum Islam Amal Sehat Sragen,3314056,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Amal Sehat Sragen,Jawa Tengah,Sragen,1
RS Umum Islam Banjarnegara,3304032,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Banjarnegara,Jawa Tengah,Banjarnegara,1
RS Umum Islam Fatimah,3301073,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Fatimah,Jawa Tengah,Cilacap,1
RS Umum Islam Kendal,3324036,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Kendal,Jawa Tengah,Kendal,1
RS Umum Islam Wonosobo,3307050,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Islam Wonosobo,Jawa Tengah,Wonosobo,1
RS Umum Bantuan Kudus,3319102,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Bantuan Kudus,Jawa Tengah,Kudus,1
RS Umum Kasih Ibu,3372165,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Kasih Ibu,Jawa Tengah,Kota Surakarta,1
RS Umum Keluarga Sehat,3318108,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Keluarga Sehat ,Jawa Tengah,Pati,1
RS Keluarga Sehat Tayu,3318114,Sudah kerjasama BPJS,Patologi Klinik,RS Keluarga Sehat Tayu,Jawa Tengah,Pati,1
RS Umum Ken Saras,3322034,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Ken Saras,Jawa Tengah,Semarang,1
RS Khusus Bedah Columbia Asia Semarang,3374366,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Bedah Columbia Asia Semarang,Jawa Tengah,Kota Semarang,1
RS Umum Mardi Rahayu,3319032,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Mardi Rahayu,Jawa Tengah,Kudus,1
RS Umum Mitra Bangsa Pati,3318075,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Mitra Bangsa Pati,Jawa Tengah,Pati,1
RS Umum Mitra Keluarga Tegal,3328042,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Mitra Keluarga Tegal,Jawa Tengah,Kota Tegal,1
RS Umum Mitra Siaga,3376023,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  Mitra Siaga,Jawa Tengah,Tegal,1
RS Umum Muhammadiyah Mardhatillah,3327047,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Muhammadiyah Mardhatillah,Jawa Tengah,Pemalang,1
RS Umum Nasional Diponegoro,3374367,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Nasional Diponegoro,Jawa Tengah,Kota Semarang,1
RS Umum Ngesti Waluyo,3323024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Ngesti Waluyo,Jawa Tengah,Temanggung,1
RS Umum Nirmala Suri,3311213,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Nirmala Suri,Jawa Tengah,Sukoharjo,1
RS Khusus Orthopedi Karima Utama,3311027,Sudah kerjasama BPJS,Patologi Klinik,RS Khusus Orthopedi Karima Utama,Jawa Tengah,Sukoharjo,1
RS Orthopedi Prof. Dr. R. Soeharso,3372063,Sudah kerjasama BPJS,Patologi Klinik,RS Orthopedi Prof. Dr. R. Soeharso,Jawa Tengah,Sukoharjo,1
RS Umum Palang Biru Gombong,3305033,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Palang Biru Gombong,Jawa Tengah,Kebumen,1
RS Umum Panti Rahayu,3315024,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Panti Rahayu,Jawa Tengah,Grobogan,1
RS Umum Panti Waluyo Yakkum Purworejo,3306082,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Panti Waluyo Yakkum Purworejo,Jawa Tengah,Purworejo,1
RS Umum Panti Waluyo,3372074,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Panti Waluyo,Jawa Tengah,Kota Surakarta,1
RS Umum Panti Wilasa Citarum,3374112,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Panti Wilasa Citarum,Jawa Tengah,Kota Semarang,1
RS Panti Wilasa,3374240,Sudah kerjasama BPJS,Patologi Klinik,RS Panti Wilasa ,Jawa Tengah,Kota Semarang,1
RS Umum Pelita Anugerah,3321034,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Pelita Anugerah,Jawa Tengah,Demak,1
RS Permata Bunda,3315035,Sudah kerjasama BPJS,Patologi Klinik,RS Permata Bunda,Jawa Tengah,Grobogan,1
RS Umum Permata Medika,3374054,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Permata Medika ,Jawa Tengah,Kota Semarang,1
RS PKU Aisyiyah Jepara,3320046,Sudah kerjasama BPJS,Patologi Klinik,RS PKU Aisyiyah Jepara,Jawa Tengah,Jepara,1
RS Umum PKU Muhammadiyah Kutowinangun,3305118,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Kutowinangun ,Jawa Tengah,Kebumen,1
RS Umum PKU Muhammadiyah Banjarnegara,3304035,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Banjarnegara,Jawa Tengah,Banjarnegara,1
RS Umum PKU Muhammadiyah Cepu,3316051,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Cepu,Jawa Tengah,Blora,1
RS Umum PKU Muhammadiyah Gubug,3315046,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Gubug,Jawa Tengah,Grobogan,1
RS PKU Muhammadiyah Karanganyar,3313033,Sudah kerjasama BPJS,Patologi Klinik,RS PKU Muhammadiyah Karanganyar,Jawa Tengah,Karanganyar,1
RS PKU Muhammadiyah Pamotan,3317038,Sudah kerjasama BPJS,Patologi Klinik,RS PKU Muhammadiyah Pamotan,Jawa Tengah,Rembang,1
RS Umum PKU Muhammadiyah Purbalingga,3303102,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Purbalingga,Jawa Tengah,Purbalingga,1
RS Umum PKU Muhammadiyah Sragen,3314090,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Sragen ,Jawa Tengah,Sragen,1
RS Umum PKU Muhammadiyah Sukoharjo,3311225,Sudah kerjasama BPJS,Patologi Klinik,RS Umum PKU Muhammadiyah Sukoharjo,Jawa Tengah,Sukoharjo,1
RS PKU Muhammadiyah Surakarta,3372096,Sudah kerjasama BPJS,Patologi Klinik,RS PKU Muhammadiyah Surakarta,Jawa Tengah,Kota Surakarta,1
RS PKU Muhammadiyah Wonogiri,3312310,Sudah kerjasama BPJS,Patologi Klinik,RS PKU Muhammadiyah Wonogiri,Jawa Tengah,Wonogiri,1
RS Umum PKU Muhammadiyah Wonosobo,3307051,Sudah kerjasama BPJS,Patologi Klinik,RS Umum  PKU Muhammadiyah Wonosobo,Jawa Tengah,Wonosobo,1
RS Umum Prima Medika,3327045,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Prima Medika,Jawa Tengah,Pemalang,1
RS Primaya Kota Semarang,3374387,Sudah kerjasama BPJS,Patologi Klinik,RS Primaya Kota Semarang,Jawa Tengah,Kota Semarang,1
RS Priscilla Medical Center,3301115,Sudah kerjasama BPJS,Patologi Klinik,RS Priscilla Medical Center,Jawa Tengah,Cilacap,1
RS Umum Purbowangi,3305092,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Purbowangi,Jawa Tengah,Kebumen,1
RS Umum Puri Asih,3373090,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Puri Asih,Jawa Tengah,Kota Salatiga,1
RS Umum Qim,3325037,Sudah kerjasama BPJS,Patologi Klinik,RS Umum Qim,Jawa Tengah,Batang,1
